Scenario,SNR,Masked NMSE
Compact,0,7.306704e-04
Compact,5,7.306707e-04
Compact,10,7.306707e-04
Compact,12,7.306707e-04
Compact,14,7.306707e-04
Compact,16,7.306707e-04
Compact,18,7.306707e-04
Compact,20,7.306707e-04
Compact,22,7.306708e-04
Compact,24,7.306708e-04
Compact,26,7.306708e-04
Compact,28,7.306708e-04
Compact,30,7.306708e-04
Dense,0,3.863373e-03
Dense,5,3.863374e-03
Dense,10,3.863374e-03
Dense,12,3.863374e-03
Dense,14,3.863374e-03
Dense,16,3.863374e-03
Dense,18,3.863374e-03
Dense,20,3.863374e-03
Dense,22,3.863374e-03
Dense,24,3.863374e-03
Dense,26,3.863374e-03
Dense,28,3.863374e-03
Dense,30,3.863374e-03
Standard,0,1.200750e-03
Standard,5,1.200751e-03
Standard,10,1.200751e-03
Standard,12,1.200751e-03
Standard,14,1.200751e-03
Standard,16,1.200751e-03
Standard,18,1.200751e-03
Standard,20,1.200751e-03
Standard,22,1.200751e-03
Standard,24,1.200751e-03
Standard,26,1.200751e-03
Standard,28,1.200751e-03
Standard,30,1.200751e-03
