Epoch,Average Loss,Epoch Time (s),Total Time (s)
1,0.029618,139.6091,139.6091
2,0.025389,140.2508,279.8599
3,0.023757,139.9712,419.8311
4,0.023173,140.6939,560.5250
5,0.022495,143.1067,703.6318
6,0.022099,141.0320,844.6638
7,0.022037,140.6635,985.3273
8,0.021628,143.9093,1129.2366
9,0.021512,144.1147,1273.3513
10,0.021144,144.2494,1417.6007
11,0.021288,144.0046,1561.6053
12,0.021003,144.4686,1706.0739
13,0.020959,143.1519,1849.2258
14,0.020761,146.1031,1995.3289
15,0.020862,142.0854,2137.4143
16,0.020861,141.7752,2279.1895
17,0.020513,141.6403,2420.8298
18,0.020599,142.0396,2562.8694
19,0.020455,141.3694,2704.2388
20,0.020245,142.4808,2846.7196
21,0.020388,142.5372,2989.2568
